Pref,Planted_Area
Hokkaido,111000
Aomori,48600
Iwate,55000
Miyagi,71100
Akita,91700
Yamagata,67900
Fukushima,68200
Ibaraki,75600
Tochigi,64300
Gunma,17300
Saitama,34400
Chiba,60200
Tokyo,162
Kanagawa,3150
Niigata,120100
Toyama,39500
Ishikawa,26600
Fukui,26200
Yamanashi,5090
Nagano,33900
Gifu,24100
Shizuoka,16800
Aichi,29300
Mie,29500
Shiga,33000
Kyoto,15200
Osaka,5550
Hyogo,37900
Nara,9060
Wakayama,7230
Tottori,13600
Shimane,18600
Okayama,32600
Hiroshima,25600
Yamaguchi,22300
Tokushima,13200
Kagawa,14400
Ehime,15000
Kochi,12700
Fukuoka,37500
Saga,25600
Nagasaki,13200
Kumamoto,37500
Oita,22900
Miyazaki,18600
Kagoshima,22900
Okinawa,860
