都道府県,転入,転出
北海道,48544,55418
青森県,17061,23384
岩手県,17113,20983
宮城県,47124,47607
秋田県,11353,15751
山形県,12921,16560
福島県,25505,31344
茨城県,45166,48875
栃木県,29760,32748
群馬県,26344,29080
埼玉県,159389,143829
千葉県,143081,127006
東京都,413444,339267
神奈川県,205368,193312
新潟県,21316,27505
富山県,12206,13210
石川県,17519,18330
福井県,8557,10377
山梨県,12366,14377
長野県,25765,28445
岐阜県,25459,30490
静岡県,49211,55601
愛知県,111160,104895
三重県,25728,29325
滋賀県,24656,25362
京都府,53759,54509
大阪府,152537,150743
兵庫県,85933,92693
奈良県,23004,26623
和歌山県,10681,14575
鳥取県,8672,9982
島根県,10248,11500
岡山県,28054,30027
広島県,45966,48102
山口県,21394,25195
徳島県,9107,10855
香川県,16937,18038
愛媛県,17080,20727
高知県,8919,11184
福岡県,98344,92612
佐賀県,14831,17131
長崎県,22105,27678
熊本県,26003,32794
大分県,17852,20460
宮崎県,17404,21692
鹿児島県,25811,30284
沖縄県,24574,24846
21大都市計,1263682,1157865
札幌市,62960,53823
仙台市,42551,41585
さいたま市,52542,43887
千葉市,33617,32751
東京都特別区部,354701,296494
横浜市,114062,111151
川崎市,74053,67214
相模原市,23034,23439
新潟市,16837,17208
静岡市,15722,16533
浜松市,15915,16521
名古屋市,79730,73780
京都市,41198,40608
大阪市,97494,88020
堺市,21600,22806
神戸市,41125,41367
岡山市,21525,21139
広島市,36021,34852
北九州市,23604,26227
福岡市,70792,62321
熊本市,24599,26139
