都道府県,都道府県(名のみ),都道府県読み,Roman
北海道,北海道,ほっかいどう,Hokkaido
青森県,青森,あおもり,Aomori
岩手県,岩手,いわて,Iwate
宮城県,宮城,みやぎ,Miyagi
秋田県,秋田,あきた,Akita
山形県,山形,やまがた,Yamagata
福島県,福島,ふくしま,Fukushima
茨城県,茨城,いばらき,Ibaraki
栃木県,栃木,とちぎ,Tochigi
群馬県,群馬,ぐんま,Gunma
埼玉県,埼玉,さいたま,Saitama
千葉県,千葉,ちば,Chiba
東京都,東京,とうきょう,Tokyo
神奈川県,神奈川,かながわ,Kanagawa
新潟県,新潟,にいがた,Niigata
富山県,富山,とやま,Toyama
石川県,石川,いしかわ,Ishikawa
福井県,福井,ふくい,Fukui
山梨県,山梨,やまなし,Yamanashi
長野県,長野,ながの,Nagano
岐阜県,岐阜,ぎふ,Gifu
静岡県,静岡,しずおか,Shizuoka
愛知県,愛知,あいち,Aichi
三重県,三重,みえ,Mie
滋賀県,滋賀,しが,Shiga
京都府,京都,きょうと,Kyoto
大阪府,大阪,おおさか,Osaka
兵庫県,兵庫,ひょうご,Hyogo
奈良県,奈良,なら,Nara
和歌山県,和歌山,わかやま,Wakayama
鳥取県,鳥取,とっとり,Tottori
島根県,島根,しまね,Shimane
岡山県,岡山,おかやま,Okayama
広島県,広島,ひろしま,Hiroshima
山口県,山口,やまぐち,Yamaguchi
徳島県,徳島,とくしま,Tokushima
香川県,香川,かがわ,Kagawa
愛媛県,愛媛,えひめ,Ehime
高知県,高知,こうち,Kochi
福岡県,福岡,ふくおか,Fukuoka
佐賀県,佐賀,さが,Saga
長崎県,長崎,ながさき,Nagasaki
熊本県,熊本,くまもと,Kumamoto
大分県,大分,おおいた,Oita
宮崎県,宮崎,みやざき,Miyazaki
鹿児島県,鹿児島,かごしま,Kagoshima
沖縄県,沖縄,おきなわ,Okinawa
